timestamps,open,high,low,close,volume,amount
2025-09-08 13:10:00,578.56,578.87,578.45,578.45,47697.0,27596649.502499998
2025-09-08 13:15:00,578.46,578.82,578.43,578.8,77086.0,44604079.465
2025-09-08 13:20:00,578.79,579.1,578.69,579.07,74420.0,43082668.25
2025-09-08 13:25:00,579.07,579.15,578.76,578.87,67831.0,39271605.3375
2025-09-08 13:30:00,578.88,579.03,578.75,578.85,50594.0,29287728.234999996
2025-09-08 13:35:00,578.85,578.945,578.71,578.72,41088.0,23781991.200000003
2025-09-08 13:40:00,578.72,578.835,578.57,578.82,60573.0,35055790.87125
2025-09-08 13:45:00,578.82,578.86,578.44,578.45,55151.0,31912712.517500002
2025-09-08 13:50:00,578.48,578.55,577.84,578.4,94059.0,54395965.7325
2025-09-08 13:55:00,578.4,578.5,578.13,578.32,53907.0,31176439.612500004
2025-09-08 14:00:00,578.33,578.36,578.11,578.18,87370.0,50521265.65
2025-09-08 14:05:00,578.17,578.45,578.08,578.3,69708.0,40308651.0
2025-09-08 14:10:00,578.305,578.84,578.29,578.74,64482.0,37305658.087500006
2025-09-08 14:15:00,578.73,579.07,578.675,579.02,68163.0,39457771.42125
2025-09-08 14:20:00,579.02,579.21,578.95,578.98,60455.0,35005863.199999996
2025-09-08 14:25:00,578.97,579.08,578.81,579.04,38555.0,22322381.125
2025-09-08 14:30:00,579.05,579.14,578.85,579.01,30990.0,17943597.375
2025-09-08 14:35:00,579.0,579.07,578.69,578.7,43080.0,24937504.2
2025-09-08 14:40:00,578.71,578.79,578.45,578.78,51817.0,29985591.1025
2025-09-08 14:45:00,578.77,579.01,578.74,578.88,45961.0,26604524.85
2025-09-08 14:50:00,578.88,578.95,578.58,578.63,40309.0,23329236.84
2025-09-08 14:55:00,578.62,578.78,578.5,578.59,59906.0,34662959.48500001
2025-09-08 15:00:00,578.58,578.6,578.38,578.54,83935.0,48558495.875
2025-09-08 15:05:00,578.54,578.65,578.415,578.43,68666.0,39723881.8275
2025-09-08 15:10:00,578.43,578.48,577.87,578.01,97753.0,56520540.2175
2025-09-08 15:15:00,578.02,578.15,577.85,577.98,94404.0,54565512.0
2025-09-08 15:20:00,577.97,578.07,577.77,577.98,61474.0,35528744.615
2025-09-08 15:25:00,577.98,578.055,577.86,578.01,51190.0,29586604.237499997
2025-09-08 15:30:00,578.02,578.49,578.02,578.03,135156.0,78139089.84
2025-09-08 15:35:00,578.03,578.57,578.03,578.52,72234.0,41772019.27499999
2025-09-08 15:40:00,578.52,578.8,578.5,578.72,114354.0,66169226.79
2025-09-08 15:45:00,578.72,579.02,578.715,579.02,163280.0,94517689.5
2025-09-08 15:50:00,579.015,579.02,578.38,578.63,238057.0,137778166.89125
2025-09-08 15:55:00,578.65,578.86,578.37,578.82,702088.0,406280773.40000004
2025-09-09 09:30:00,579.67,580.2,579.38,579.85,395240.0,229150271.0
2025-09-09 09:35:00,579.86,579.96,579.41,579.65,225344.0,130636423.68
2025-09-09 09:40:00,579.65,579.85,579.23,579.82,201182.0,116612631.525
2025-09-09 09:45:00,579.81,579.97,579.4,579.52,190656.0,110518516.8
2025-09-09 09:50:00,579.52,579.56,578.93,578.99,190900.0,110578825.0
2025-09-09 09:55:00,578.98,579.64,578.84,579.2,174327.0,100964096.955
2025-09-09 10:00:00,579.2,579.6,578.35,578.69,332776.0,192663992.96
2025-09-09 10:05:00,578.69,579.6,578.55,579.58,223103.0,129200062.815
2025-09-09 10:10:00,579.56,580.02,579.45,579.67,187700.0,108804997.49999999
2025-09-09 10:15:00,579.67,579.8,579.07,579.21,140232.0,81255679.5
2025-09-09 10:20:00,579.22,579.48,579.18,579.24,85072.0,49280508.16
2025-09-09 10:25:00,579.25,579.36,578.81,579.07,130629.0,75650193.05250001
2025-09-09 10:30:00,579.07,579.1,577.68,577.7,243731.0,140970963.76250002
2025-09-09 10:35:00,577.71,577.88,577.21,577.42,290944.0,168036161.92000002
2025-09-09 10:40:00,577.44,577.79,577.04,577.45,227779.0,131526427.97000001
2025-09-09 10:45:00,577.44,577.95,577.3,577.87,169707.0,98029551.48
2025-09-09 10:50:00,577.87,578.54,577.39,578.52,133857.0,77380054.55999999
2025-09-09 10:55:00,578.51,578.85,578.47,578.49,143148.0,82822569.84
2025-09-09 11:00:00,578.45,578.9,577.98,578.13,222571.0,128727276.415
